temp,ts
73.85,1341569081556
73.85,1341569087335
73.85,1341569093119
73.85,1341569098902
73.85,1341569104685
73.85,1341569110468
73.85,1341569116252
73.74,1341569122031
73.74,1341569127814
73.74,1341569133598
73.74,1341569139381
73.74,1341569145164
73.74,1341569150948
73.62,1341569156727
73.62,1341569162510
73.62,1341569168294
73.62,1341569174077
73.62,1341569179860
73.62,1341569185643
73.51,1341569191423
73.51,1341569197206
73.51,1341569202989
73.51,1341569208773
73.40,1341569214556
73.40,1341569220335
73.29,1341569226118
73.29,1341569231902
73.29,1341569237685
73.40,1341569243468
73.40,1341569249252
73.40,1341569255031
73.40,1341569260814
73.40,1341569266598
73.51,1341569272381
73.51,1341569278164
73.51,1341569283947
73.51,1341569289727
73.51,1341569295510
73.51,1341569301293
73.62,1341569307077
73.62,1341569312860
73.62,1341569318643
73.62,1341569324423
73.62,1341569330206
73.62,1341569335989
73.62,1341569341772
73.62,1341569347556
73.74,1341569353339
73.74,1341569359118
73.74,1341569364902
73.74,1341569370685
73.74,1341569376468
73.74,1341569382252
73.62,1341569388031
73.62,1341569393814
73.62,1341569399597
73.62,1341569405381
73.62,1341569411164
73.62,1341569416947
73.74,1341569422727
73.62,1341569428510
73.62,1341569434293
73.62,1341569440077
